tijdstip;aantal_open;aantal_afgewerkt
28/08/2026 17:09;12;2
28/08/2026 17:10;6;0
28/08/2026 17:22;33;97
28/08/2026 22:15;31;97
30/08/2026 01:23;29;99
30/08/2026 03:45;30;99
30/08/2026 15:20;25;104
30/08/2026 19:37;21;108
31/08/2026 02:54;17;112
31/08/2026 09:04;15;114
31/08/2026 16:46;11;118
31/08/2026 23:26;3;126
